X	Y	RouteID	ARM	Direction_	Location	Year_2012	Year_2013	Year_2014	Year_2015	Year_2015_	GlobalID	LastUpdate
-123.877955377765687	46.241187150541073	101	0.600000000000000	Bothways	At Milepost 0.60 A:PTR LOCATION S841 WEST	5500*	5700*	5900*	6400*	6400	{B97C0F14-F7FB-4FA3-8012-7498F70F88DE}	2015/12/31
-122.87406594785125	48.00213836231697	101	280.189999999999998	Bothways	At Milepost 281.15 A:PTR LOCATION R023	11000*	11000*	11000*	12000*	12000	{8AD1DBEF-3653-4664-96D0-B28BCDA98DC8}	2015/12/31
-122.251887496635689	47.857261163001866	005	184.539999999999992	Bothways	At Milepost 184.48 A:PTR LOCATION P1	180000*	181000*	182000*	186000*	186000	{76A7D896-8FD6-4E6B-B639-F2C51CC2D586}	2015/12/31
-122.648077208150042	48.207588827236016	020	19.640000000000001	Bothways	At Milepost 20.02 A:PTR LOCATION S706	8000*	8100*	8000*	8500*	8500	{8E9CB545-EB91-4962-987A-537D0CD695E6}	2015/12/31
-122.296852449608807	48.291961350225591	005	217.219999999999999	Bothways	At Milepost 217.17 A:PTR LOCATION R110		58000*	60000*	62000*	62000	{728524D1-2B1A-419A-8CE8-E6A41ABF8767}	2015/12/31
-118.163015615785355	47.653506326930277	002	242.419999999999987	Bothways	At Milepost 250.50 A:PTR LOCATION R064	2800*	2800*	2800*	2900*	2900	{C7D43C76-8DD2-42FE-95B3-87B8A059CB4E}	2015/12/31
-117.617750225170724	48.056227316974919	395	195.050000000000011	Bothways	At Milepost 190.29 A:PTR LOCATION R063	8000*	8200*	8400*	8800*	8800	{DB849CAF-DF9D-49B7-9F97-CBEC7D168AA2}	2015/12/31
-122.184971879799434	47.979257311813271	002	0.390000000000000	Bothways	At Milepost 0.26 A:PTR LOCATION R052	74000*	76000*	76000*	78000*	78000	{1FE8F77A-84FE-47E0-BFFE-D4E6AD0C5CF6}	2015/12/31
-117.411268291692082	47.686087245336793	002CODIVISN	0.010000000000000	Southbound	At Milepost 289.20 A:PTR LOCATION R103	22000*	22000*	22000*	23000*	23000	{420D401C-8001-439E-924F-67ACC39D5451}	2015/12/31
-123.865253521352003	46.44264622686643	101	30.000000000000000	Bothways	At Milepost 30.00 A:PTR LOCATION R074	2200	2300*	2400*	2600*	2600	{10405FB5-85B6-4424-94D7-82A08EBC2DD5}	2015/12/31
-119.601680760065179	46.124852398530052	221	12.980000000000000	Bothways	At Milepost 13.10 A:PTR LOCATION P17	2100*	2200*	2200*	2200*	2200	{95AFD0F9-AF21-4F6E-979A-78FC32947829}	2015/12/31
-121.922743486855097	47.517407609310986	090	21.609999999999999	Bothways	At Milepost 23.54 A:PTR LOCATION S826	55000	59000*	61000*	63000*	63000	{FAD3F33A-2B64-4FDE-A84E-24C73A093A53}	2015/12/31
-118.697641711691858	48.652962326013316	020	303.980000000000018	Bothways	At Milepost 304.60 A:PTR LOCATION S820	2200*	2200*	2300*	2200*	2200	{CD12E606-7FD8-472F-89EC-45DE576EF0C5}	2015/12/31
-122.891922435015971	46.207584449677583	005	44.369999999999997	Bothways	At Milepost 44.30 A:PTR LOCATION P8	48000*	51000*	52000*	54000*	54000	{878001EB-B6DA-4061-BF0F-6A766F1B936D}	2015/12/31
-122.561947345826766	48.831643921717301	005	261.389999999999986	Bothways	At Milepost 261.33 A:PTR LOCATION P04	50000*	51000*	51000*	50000*	50000	{AEDAEBCA-E6E6-4CA8-AF6B-CF054497203A}	2015/12/31
-123.003553715837839	47.053289669138024	101	360.160000000000025	Bothways	At Milepost 362.01 A:PTR LOCATION R003 EAST	46000*	46000*	47000*	49000*	49000	{96B1EC6B-4F20-4B25-BE14-5200CBC8CA96}	2015/12/31
-122.291708785380507	47.375608258654999	005	148.129999999999995	Bothways	At Milepost 148.07 A:PTR LOCATION S809	192000	193000*	195000*	203000*	203000	{EBC450B0-232F-4F5E-BB52-2A2C9DB1AB66}	2015/12/31
-122.159673668931248	48.240266213833692	009	32.740000000000002	Bothways	At Milepost 32.98 A:PTR LOCATION R083	1800*	2000*	2000*	2000*	2000	{9C8A7ACC-0A9D-4124-943B-58A2F662117A}	2015/12/31
-122.932209294495465	46.970508011155424	005	100.609999999999999	Bothways	At Milepost 100.54 A:PTR LOCATION R097	68000*	69000*	71000*	75000*	75000	{923BF8AF-7F0B-4F05-96A8-2683F6B7173C}	2015/12/31
-122.339327285309452	47.578446066631635	099	23.109999999999999	Bothways	At Milepost 29.37 A:PTR LOCATION R101	61000*	60000*	61000*	63000*	63000	{2C5B3D6A-D96C-4756-933A-22F7F86CD73A}	2015/12/31
-119.591350874318138	48.349265393615148	097	271.209999999999980	Bothways	At Milepost 286.16 A:PTR LOCATION P23	3700*	3700	3700*	4000*	4000	{64F8AB5F-C2C4-4B78-B9E5-E9CF07AE0D9D}	2015/12/31
-122.220075633470202	47.43086842416345	167	25.020000000000000	Bothways	At Milepost 23.70 A:PTR LOCATION P6	119000*	117000*	119000*	123000*	123000	{BDA9F5B8-6A76-491F-86EC-F2B01882774D}	2015/12/31
-120.395654420594298	46.416731844289018	097	65.909999999999997	Bothways	At Milepost 66.30 A:PTR LOCATION P03	13000*	12000*	13000*	13000*	13000	{FC5681BF-7C86-4D52-8755-997195C773F2}	2015/12/31
-122.202788348407012	47.302479211447682	018	5.790000000000000	Bothways	At Milepost 5.26 A:PTR LOCATION P20	56000*	58000*	58000*	61000*	61000	{C92BD985-E386-4DBB-9F75-ACB502BC88F5}	2015/12/31
-123.01304265912016	47.056796023807287	101	359.629999999999995	Bothways	At Milepost 361.37 A:PTR LOCATION R003 NORTH	29000*	29000	30000*	32000*	32000	{98FD39B5-EBFF-4E92-BFE2-930D872D9CEB}	2015/12/31
-122.793738671347839	47.47536095374786	003	28.649999999999999	Bothways	At Milepost 28.68 A:PTR LOCATION R089	16000*	16000*	17000*	17000*	17000	{B7CD87EE-3D2D-407B-B52B-263D1C8D0614}	2015/12/31
-122.595846866154218	46.373140268789804	504	19.379999999999999	Bothways	At Milepost 19.43 A:PTR LOCATION S840	730*	850	690*	690*	690	{A0E733D6-572D-4767-BC69-F7E236E34C60}	2015/12/31
-122.804501257233554	47.056975560671518	005	110.099999999999994	Bothways	At Milepost 110.03 A:PTR LOCATION R060	112000	113000	115000*	119000*	119000	{D064F450-8936-44CC-900C-F0C1B3CB5BBE}	2015/12/31
-123.029414606125556	46.177757111097982	004	55.039999999999999	Bothways	At Milepost 55.05 A:PTR LOCATION R078	4900*	5100*	5000*	5300*	5300	{F6BF2275-954A-48A4-8592-F62E07A31894}	2015/12/31
-120.829628314092417	45.693912945554153	014	100.530000000000001	Bothways	At Milepost 100.64 A:PTR LOCATION R076	1900	1900*	2000*	2300*	2300	{F5DC2335-954D-4589-8109-9901322A743D}	2015/12/31
-119.133175825365115	46.840552281059928	017	22.879999999999999	Bothways	At Milepost 30.37 A:PTR LOCATION R020	6000*	6200*	6400*	6600*	6600	{92C78562-4AC5-49A4-94FA-228FD7947220}	2015/12/31
-118.430319465753641	47.110875909630622	090	216.539999999999992	Bothways	At Milepost 218.83 A:PTR LOCATION P10	9900*	10000*	11000*	11000*	11000	{DA4EC5A0-F259-48DF-8E84-A8217BD7F33E}	2015/12/31
-120.437174605292995	47.510047145486929	002	113.159999999999997	Bothways	At Milepost 113.10 A:PTR LOCATION P01	21000*	22000*	22000*	23000*	23000	{454CFF22-C1DE-447B-982B-CDB800AE53FE}	2015/12/31
-122.492313310993666	47.234878491356099	016	1.780000000000000	Bothways	At Milepost 1.63 A:PTR LOCATION R107			117000*	121000*	121000	{83036171-B0C5-4676-9714-47C264D4459D}	2015/12/31
-120.801149680971037	45.836995673137402	097	13.650000000000000	Bothways	At Milepost 13.41 A:PTR LOCATION R041	4600*	4700*	4900*	5200*	5200	{FAC6EA33-AA59-47BF-B336-0F457D0CC810}	2015/12/31
-123.915405965174259	47.184627188537185	101	104.129999999999995	Bothways	At Milepost 104.55 A:PTR LOCATION R054	2000*	2100*	2100*	2200*	2200	{320C0469-11C1-404A-8AA7-3B6304B2E61A}	2015/12/31
-122.082901777142141	47.556697247290458	090	12.720000000000001	Bothways	At Milepost 14.65 A:PTR LOCATION S825	121000*	123000*	122000	128000*	128000	{3EF9119C-985F-4481-809F-92626980FD9B}	2015/12/31
-122.323735064497512	45.572558999269852	014	17.710000000000001	Bothways	At Milepost 17.70 A:PTR LOCATION P07	5500*	5800*	6300*	6700*	6700	{2EF61A05-8CEA-4D67-942B-8C974DEC89E6}	2015/12/31
-117.400062029635379	47.539129036731453	195	85.109999999999999	Bothways	At Milepost 87.70 A:PTR LOCATION P15	8000*	8000*	8200*	8500	8500	{A98505F3-3166-4999-AEDC-7E64B9542626}	2015/12/31
-120.341467780666989	46.427870198494304	082	48.469999999999999	Bothways	At Milepost 48.50 A:PTR LOCATION P08	23000*	24000*	25000*	27000*	27000	{74335281-BA9B-41B7-855F-C6A36B3B5748}	2015/12/31
-117.461239068015175	47.64220386889226	090	276.509999999999991	Bothways	At Milepost 278.80 A:PTR LOCATION R118				78000*	78000	{8A450F8A-2448-4BEA-85F3-5273CDE132E1}	2015/12/31
-119.530999124489995	47.599656350298552	002	171.050000000000011	Bothways	At Milepost 179.10 A:PTR LOCATION P02	660*	620*	640*	660*	660	{C9E4F45C-5DFC-4BDA-8EB9-43F60E643507}	2015/12/31
-117.842981753274941	46.530839817471119	012	386.480000000000018	Bothways	At Milepost 389.71 A:PTR LOCATION R067	1900*	1900*	2000*	2000*	2000	{33C1C723-866E-435D-905C-2F4DEECD23EB}	2015/12/31
-122.182047132163888	47.687572067702341	405	18.690000000000001	Bothways	At Milepost 18.70 A:PTR LOCATION S822	182000*	189000*	191000	193000	193000	{9D80BADF-5160-4891-B8CE-7C4E4278C4EB}	2015/12/31
-122.910438891910871	46.230879177784232	411	7.970000000000000	Bothways	At Milepost 7.97 A:PTR LOCATION S819	3300*	3100*	3100*	3400*	3400	{B35B25D1-76FC-43BF-A753-372485FDCD98}	2015/12/31
-123.872158965887252	46.241816354233094	401	0.150000000000000	Bothways	At Milepost 0.15 A:PTR LOCATION S841 EAST	2200*	2400*	2500*	2600*	2600	{AACC4792-EE3F-4D85-B6E2-5876991BBC0F}	2015/12/31
-122.154728313937468	47.774023326545304	522	13.260000000000000	Bothways	At Milepost 13.30 A:PTR LOCATION P19	47000*	47000*	48000*	50000*	50000	{5CDCD2D6-CFC1-4160-B0A5-1FF441040940}	2015/12/31
-122.193107140318475	48.176371132674063	005	207.810000000000002	Bothways	At Milepost 207.76 A:PTR LOCATION R001	85000	85000*	85000*	89000*	89000	{D87A0D22-79E0-4E35-8AE8-43ED9B3357F1}	2015/12/31
-117.397936407711668	47.779076156693058	395SPNSC	5.150000000000000	Bothways	At Milepost 167.18 A:PTR LOCATION R111		5900*	6700*	7400*	7400	{763D0477-573D-4E69-93B8-CD9E4FB662B4}	2015/12/31
-119.22506254599196	47.097121431798222	090	178.610000000000014	Bothways	At Milepost 180.33 A:PTR LOCATION R055	11000*	11000*	11000*	12000*	12000	{DCDBE9A7-DE1F-4D04-8FEA-A8243202FDB1}	2015/12/31
-117.411124150583277	47.695069061867557	002	281.689999999999998	Bothways	At Milepost 289.79 A:PTR LOCATION R021	40000*	40000*	40000*	41000*	41000	{835BE598-A5A7-4CB6-906E-706B73F90C8D}	2015/12/31
-122.322731705581461	47.645759557010841	005RL005EXP	3.020000000000000	Bothways	At Milepost 168.31 A:PTR LOCATION R49R	44000*	45000*	46000*	47000*	47000	{2552E0BE-CE8B-410F-AC4B-AA0B3AF5047D}	2015/12/31
-122.584363308319823	47.816114784242856	104	19.280000000000001	Bothways	At Milepost 19.48 A:PTR LOCATION R095	5200*	5300*	5400*	5500*	5500	{552BF5FB-836E-45F7-A814-B95F8EE13A2B}	2015/12/31
-122.075207012192479	47.655115151345939	202	9.630000000000001	Bothways	At Milepost 9.65 A:PTR LOCATION S206				33000*	33000	{2F7F77AB-EBE1-482E-ACAC-ADAB2DC2B027}	2015/12/31
-122.87102097983265	46.092177179581363	005	35.880000000000003	Bothways	At Milepost 35.88 A:PTR LOCATION R115			63000*	66000*	66000	{75F4BA01-98F6-4FE1-9112-0540DE7D6A30}	2015/12/31
-119.224518566377469	46.047825072943191	082	121.170000000000002	Bothways	At Milepost 121.20 A:PTR LOCATION P09	17000*	17000*	18000*	19000*	19000	{8DC6A005-372E-488E-B0BE-132C33D39CC2}	2015/12/31
-120.790847659823228	46.74831785015072	410	107.329999999999998	Bothways	At Milepost 116.26 A:PTR LOCATION S818 WEST	1900*	2000*	2000*	2100*	2100	{F08DC259-53D5-4EFA-88CE-84F872DE7E77}	2015/12/31
-122.195791904327294	47.969606127409619	005	193.129999999999995	Bothways	At Milepost 193.07 A:PTR LOCATION R082	173000*	176000*	180000*	187000*	187000	{93214123-C69E-4D2D-82E2-022D2EC922B7}	2015/12/31
-120.799245466400365	45.701796288042857	014	102.159999999999997	Bothways	At Milepost 102.27 A:PTR LOCATION R077	1600*	1600*	1600*	1600*	1600	{1EE5D9AB-92B7-4C79-B581-2EE9CA3B8F7C}	2015/12/31
-122.636395830863265	47.866592177525384	104	13.720000000000001	Bothways	At Milepost 13.92 A:PTR LOCATION R085	15000*	16000*	16000*	17000*	17000	{B5F702AC-F0CB-4BCB-87B1-AB4E8BBB1C95}	2015/12/31
-119.124402657858909	46.810580409312465	026	43.060000000000002	Bothways	At Milepost 43.06 A:PTR LOCATION R066	2800*	2800*	2800*	2900*	2900	{9836D471-738A-4A01-91B9-40641B3EA3F5}	2015/12/31
-121.332218605115315	47.712799468262524	002	50.200000000000003	Bothways	At Milepost 50.12 A:PTR LOCATION R038	4900*	5000*	4800*	5000*	5000	{A15FDE67-B218-401F-A41E-850F400CD08E}	2015/12/31
-118.005985118503745	48.596934678481389	395	240.340000000000003	Bothways	At Milepost 235.60 A:PTR LOCATION R070	7300*	7500*	7600*	7800*	7800	{354A3443-F9FB-425F-A03E-75AB031A7F6D}	2015/12/31
